X,Y,LocationID,State
-149.9000234,61.65470161,13AK,AK
-149.8708539,61.6481905,AA30,AK
-154.2647215,66.03908388,HUS,AK
-156.3514155,65.69786133,HLA,AK
-141.6617923,59.96902192,19AK,AK
-161.9033659,70.29248799,2AK8,AK
-155.9017944,59.32404248,IGG,AK
-154.9177742,59.75557905,ILI,AK
-162.4640887,65.6734764,2AK9,AK
-151.522403,59.45216205,4Z9,AK
-157.096841,57.88510047,AK60,AK
-134.5784911,58.35471599,JNU,AK
-133.9102808,56.9613668,AFE,AK
-146.8361438,70.17277937,8AK7,AK
-156.8433642,64.42444746,1KC,AK
-160.345606,61.53597214,KLG,AK
-158.7413309,64.31897993,KAL,AK
-150.9951026,63.54098741,5Z5,AK
-150.3302889,63.75120695,Z90,AK
-154.4538263,57.56605673,KYK,AK
-162.5243276,60.87333298,Z09,AK
-151.2628788,60.35052231,5KS,AK
-146.9000777,69.676778,RK1,AK
-151.278091,60.729442,6AK3,AK
-151.2941893,60.70250145,8AK2,AK
-151.2600253,60.5027598,30AK,AK
-152.1619998,60.58886881,3AK5,AK
-151.3279781,60.59306811,75AK,AK
-151.340036,60.63249033,3AK4,AK
-151.2352753,60.49154036,0AA7,AK
-151.2448559,60.57327924,ENA,AK
-131.711241,55.35408797,KTN,AK
-160.4365553,66.97594384,IAN,AK
-162.2662662,55.11634748,KVC,AK
-156.6487122,58.67649423,AKN,AK
-164.0281324,59.93161062,IIK,AK
-164.5635278,67.7361375,KVL,AK
-133.0760162,55.57923777,AKW,AK
-156.8973612,66.91233335,OBU,AK
-152.4939753,57.7497934,ADQ,AK
-152.3738623,57.80591898,KDK,AK
-154.8026134,59.43328709,9K2,AK
-157.2602718,59.72675057,JZZ,AK
-162.8806153,59.96163051,DUY,AK
-163.5326623,63.0305826,2A9,AK
-162.5981661,66.88480459,OTZ,AK
-161.1543031,64.93952725,KKA,AK
-157.7304701,64.87580561,KYU,AK
-155.0956339,58.96500653,LKK,AK
-149.5980884,70.33066774,UBW,AK
-161.4437165,60.79033315,KWT,AK
-163.1680588,59.87558437,GGV,AK
-146.5773738,62.29162018,Z55,AK
-147.4069683,62.29111309,AK80,AK
-153.9766874,57.53508458,2A3,AK
-149.3693642,60.4118865,9Z9,AK
-156.8599103,59.12708402,9Z8,AK
-155.4404091,61.35913128,2AK,AK
-153.797906,61.25709017,AK53,AK
-148.6537739,65.46727102,4AK,AK
-153.2422487,70.91074563,AK71,AK
-143.3259814,61.3778852,4AK3,AK
-144.4800232,62.98988466,4AK5,AK
-150.6476095,64.9879457,MLY,AK
-158.9019101,58.93205594,MBA,AK
-162.0261339,61.86416629,MDM,AK
-142.6859091,61.33616392,MYK,AK
-142.7334675,61.35651669,0AK5,AK
-142.9788564,61.42688054,0AK8,AK
-142.891234,61.21887501,AK0,AK
-142.9025261,61.43782185,15Z,AK
-143.0012581,61.4112272,AK31,AK
-154.002135,62.54538976,56AK,AK
-155.6070722,62.95278449,MCG,AK
-154.7603605,63.22918124,AK40,AK
-148.7981555,63.64510111,AK06,AK
-148.9106633,63.73259997,INR,AK
-149.7069539,61.61575164,24AK,AK
-166.2702157,60.37238801,MYU,AK
-146.3072624,59.44994593,MDO,AK
-152.3018584,63.88597327,MHM,AK
-149.3686097,65.14816814,51Z,AK
-150.4910681,62.03482649,0AK3,AK
-157.1518296,62.59904312,99AK,AK
-163.6828838,62.09477711,MOU,AK
-142.9954919,62.40184882,IBN,AK
-157.0471735,58.92760567,76Z,AK
-157.0252316,58.73466355,5NK,AK
-157.0071631,58.73427042,4AK9,AK
-151.877137,59.24100062,AK07,AK
-151.9251776,59.35214977,KEB,AK
-158.7389867,61.53631407,4AK8,AK
-161.978522,60.69033308,WNA,AK
-161.7783275,60.70291644,PKA,AK
-161.1603867,56.00753644,OUL,AK
-149.0740009,64.54733075,ENN,AK
-157.3731883,59.45152836,KNW,AK
-164.6412718,60.9391382,EWU,AK
-164.704059,60.46917018,IGT,AK
-151.3022588,60.72527505,AK73,AK
-151.2305505,60.77316812,AK11,AK
-154.3584687,63.01855633,FSP,AK
-168.8490452,52.94155519,IKO,AK
-151.5894408,60.02023561,NIN,AK
-162.9804445,67.56116557,WTK,AK
-165.4443949,64.51255138,OME,AK
-165.3902546,64.51142109,94Z,AK
-154.8391968,59.98023121,5NN,AK
-161.0222773,66.81752709,D76,AK
-147.3338282,64.77318907,5AK3,AK
-147.3876648,64.75922406,95Z,AK
-146.8441924,64.54389083,AK41,AK
-147.3477126,64.73068851,5AK2,AK
-147.2467176,64.77176297,78AA,AK
-146.8621089,64.39250195,0AK0,AK
-147.3294704,64.76944629,AA76,AK
-141.9281075,62.96116953,ORT,AK
-150.9453657,62.51725749,33AK,AK
-150.8866997,70.42062305,AK20,AK
-151.0065049,70.20983415,AQT,AK
-158.0742477,64.72933334,NUL,AK
-164.8476618,62.52041578,SXP,AK
-162.4406054,60.90599965,16A,AK
-159.9937074,60.98065531,ZNC,AK
-153.2698525,57.21830694,6R7,AK
-156.5289326,63.14591984,Z17,AK
-152.465014,57.94215662,4K5,AK
-149.0432122,61.62883231,AK46,AK
-149.2689622,61.59295172,3AK6,AK
-149.0176594,61.53031704,AK1,AK
-149.2886039,61.6250406,34AK,AK
-149.2683122,61.55701283,5AK6,AK
-149.0402122,61.60469898,AK88,AK
-149.2907595,61.68203226,9AA1,AK
-149.2480233,61.60246839,14AK,AK
-149.2360039,61.5860295,39AK,AK
-149.1903344,61.54852118,5AK9,AK
-149.2735123,61.65518227,AK93,AK
-149.2536234,61.66400171,97AK,AK
-148.7953816,61.45763514,AK66,AK
-149.0289345,61.63801286,AK92,AK
-149.2867539,61.62750171,3AK2,AK
-149.0887455,61.59491841,PAQ,AK
-149.1425233,61.58861285,AK63,AK
-149.1444677,61.55457118,AK50,AK
-149.0485622,61.64683231,7AK9,AK
-149.1874123,61.66866284,05AK,AK
-149.2887734,61.64097115,4AK6,AK
-145.5005752,63.02458226,PXK,AK
-154.1299942,59.7969455,4K0,AK
-159.1608488,55.90672423,PEV,AK
-132.9462418,56.80147667,PSG,AK
-157.5719775,57.58038126,PNP,AK
-157.739886,57.42535875,UGB,AK
-162.8995783,61.93455503,0AK,AK
-161.8272126,59.01783049,PTU,AK
-161.7139126,58.9117158,6AK1,AK
-166.799306,68.34874817,PHO,AK
-163.0053641,69.73288757,PIZ,AK
-150.0261232,61.43991271,64AK,AK
-150.0590759,61.3325516,0AK9,AK
-149.9746786,61.25588218,2AK0,AK
-150.1223843,61.43602103,AK36,AK
-150.1162732,61.3804627,50AK,AK
-149.9822442,61.25148218,6AK2,AK
-150.0825231,61.35333493,AK14,AK
-154.318895,60.20433433,TPO,AK
-154.3247272,60.19863961,AK51,AK
-166.8576526,65.25345405,KPC,AK
-151.830344,59.34847645,PGM,AK
-158.6333821,56.95910171,PTH,AK
-152.8475931,57.8849264,ORI,AK
-157.7111879,58.90652557,A14,AK
-150.6436392,66.81405669,PPC,AK
-152.269634,62.94075668,01A,AK
-149.7614043,65.35472083,20K,AK
-164.6557501,65.40593189,5QC,AK
-161.8453881,59.7550943,AQH,AK
-152.7175483,62.08414306,6AK,AK
-150.14086,65.50790131,RMP,AK
-157.3502731,61.78805594,RDV,AK
-162.8992229,68.03210998,DGG,AK
-155.4699146,64.72722267,RBY,AK
-161.4397451,61.89899971,9AK2,AK
-161.3194117,61.77488863,RSH,AK
-165.0147415,64.90900855,Z81,AK
-160.5214359,55.31369493,SDP,AK
-170.4931895,63.68627587,SVA,AK
-165.5737723,61.84454073,SCM,AK
-160.1527973,66.76604308,8AK3,AK
-159.9857772,66.6001384,WLK,AK
-151.7050635,59.44390702,SOV,AK
-149.4168668,60.13008234,SWD,AK
-159.5692458,62.6923055,SHX,AK
-161.2239971,64.37108284,2C7,AK
-147.5090749,61.81128255,SMU,AK
174.1135746,52.71225603,SYA,AK
-166.0893871,66.24958184,SHH,AK
-157.1624444,66.88808331,SHG,AK
-135.3610886,57.04683845,SIT,AK
-135.3156849,59.460066,SGY,AK
-150.9898097,61.93512363,3AK9,AK
-151.1954138,61.96611387,SKW,AK
-151.4083568,61.85277913,1AK6,AK
-151.3848983,61.67467359,1AK8,AK
-143.9205385,62.72461448,DDT,AK
-157.1658842,61.70050042,SLQ,AK
-133.7295334,58.13440015,7AK2,AK
-150.9597448,60.51777929,70AK,AK
-150.9355728,60.50359818,7AK5,AK
-150.9286281,60.47776458,7AK6,AK
-151.1661361,60.47637343,7AK3,AK
-150.7522317,60.52415599,1AK4,AK
-150.8016892,60.48916821,AK55,AK
-151.0396614,60.47514039,SXQ,AK
-164.4423524,64.56064035,AK26,AK
-157.0026045,58.70208403,WSN,AK
-155.5748311,61.09711461,SVW,AK
-169.663741,56.57736019,PBV,AK
-163.3018561,62.06083273,KSM,AK
-162.1104129,63.49005501,SMK,AK
-170.2225745,57.16630448,SNP,AK
-162.278024,63.51597164,WBB,AK
-150.6251559,60.5289849,AK01,AK
